Fabián
Alessandro Murgia
Gianluca Mancini
Gianluca Scamacca
Marco Tumminello
Simon Ingelsson
Senna Miangue
Cengiz Ünder
Luka Šimić
Ben Chilwell
Sadiq Umar
Patrick Cutrone
Ermedin Demirović
Ľubomír Tupta
Iván Rodríguez
Yann Karamoh
Tom Davies
Pol Lirola
Emmanuel Torrasi
Jakub Jankto
Simone Edera
Mikel Oyarzabal
Mason Holgate
Aitor Ruibal
Alfonso Pedraza
Luca Sparandeo
Cheick Keita
Rodrigo Bentancur
Federico Valverde
Simone Palombi
Stefano Pontisso
Loren Morón
Junior Firpo
Rodri
Adrián Diéguez
Karim Adeyemi
Simone Lo Faso
Giuseppe Crociata
Rob Holding
Carlos Soler
Francis Guerrero
Christian Rivera
Riccardo Orsolini
Amadou Diawara
Maximiliano Olivera
Luiz Felipe
Martin Ndockyt
Mehdi Abeid
Richarlison
Lyanco
Declan Rice
Charles
Jean-Claude Billong
Callum Roberts
Emiliano Buendía
Germán Pezzella
Julio Gracia
Héctor Toledo
Zubeldía
Maxi Gómez
Achraf Hakimi
Carlos Isaac
Jaime Sierra
Reiss Nelson
Timothy Fosu-Mensah
Scott McTominay
Marcus Rashford
Ferrán Torres
Tyrese Campbell
Lukas Sørensen
Exequiel Palacios
Pablo Fornals
Pau Torres
Chuca
Nicolò Zaniolo
Bright Gyamfi
Kyle Walker-Peters
Senna Miangue
Orji Okwonkwo
Rogério
Lee Seung-Woo
Han Kwang-Song
Víctor López
Brahim Diaz
Alessandro Bastoni
Marco Antonucci
Alex Robles
Alberto Redondo
Ademola Lookman
Javi Ontiveros
Moise Kean
Rober
Dani Raba
Axel Disasi
Konstantinos Mavropanos
Jawad El Yamiq
Niccolò Pierini
Jack Simpson
Josh Tymon
Fabio Depaoli
Claud Adjapong
Moussa Diaby
Hamza Choudhury
Ethan Ampadu
Nikola Milenković
Oghenekaro Etebo
Filippo Caligara
Sam Field
Abdelhamid Sabiri
Douglas Luiz
Phil Foden
Beni Baningime
Federico Chiesa
Tom Edwards
Youssef En-Nesyri
Julien Ngoy
Harvey Barnes
Mehdi Leris
Óscar Melendo
Callum Hudson-Odoi
Enrico Brignola
Alberto López
Pietro Pellegri
Álex Mula
Sergio Arribas
Aaron Wan-Bissaka
Mozo
Erik Expósito
Martín
Musa Barrow
Edu Expósito
Miguel
Mujaid Sadick
Fabio González
Barri
Eduardo Salcedo
Alessandro Danzi
Levi Lumeka
Hugo Duro
David Alba
Sékou Sanogo
